               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.039438,            0.019116,            0.010256,             0.57302,              0.5306,             0.49016,             0.20152,            0.049064,            0.011825,             0.01321,            0.007294,            0.007294,            0.007294
                  84,             0.04033,            0.017794,            0.010239,             0.69591,             0.39748,             0.51716,              0.2185,            0.049779,            0.012537,            0.016651,            0.007261,            0.007261,            0.007261
                  85,            0.039806,            0.018859,           0.0098655,             0.75967,             0.54398,             0.58299,             0.25287,            0.048531,            0.012044,            0.011834,            0.007228,            0.007228,            0.007228
                  86,            0.038437,            0.017719,           0.0093111,             0.51338,             0.55647,             0.51265,             0.22644,             0.05033,            0.011675,            0.011086,            0.007195,            0.007195,            0.007195
                  87,            0.038749,            0.018453,           0.0099679,             0.62988,             0.42993,              0.5055,             0.20673,            0.051869,             0.01198,            0.012377,            0.007162,            0.007162,            0.007162
                  88,            0.040544,            0.017708,           0.0093088,             0.67607,             0.41697,              0.5061,              0.2151,            0.051804,            0.012366,            0.013053,            0.007129,            0.007129,            0.007129
                  89,            0.039493,             0.02069,           0.0083687,             0.60353,             0.47358,             0.48342,             0.20409,            0.053947,             0.01217,            0.015477,            0.007096,            0.007096,            0.007096
                  90,            0.038439,             0.01747,           0.0085292,             0.56045,             0.43851,             0.50233,             0.22574,            0.058415,            0.011461,            0.013718,            0.007063,            0.007063,            0.007063
                  91,            0.039931,            0.017638,           0.0097664,             0.60765,             0.43637,             0.50618,             0.22299,            0.050625,            0.011783,            0.013223,             0.00703,             0.00703,             0.00703
                  92,            0.038934,            0.018866,           0.0099972,              0.6297,             0.49519,             0.49917,             0.21776,            0.049424,            0.011637,            0.013046,            0.006997,            0.006997,            0.006997
                  93,            0.037018,             0.01738,            0.009262,             0.59526,             0.54933,             0.54015,             0.26172,             0.05296,            0.011231,            0.013084,            0.006964,            0.006964,            0.006964
                  94,            0.037898,            0.018117,            0.011697,             0.62536,             0.44697,             0.50011,              0.2207,            0.054088,            0.011627,            0.011936,            0.006931,            0.006931,            0.006931
                  95,            0.038864,            0.018068,           0.0094654,              0.7578,             0.51667,             0.53679,             0.27564,            0.050195,            0.012053,           0.0092843,            0.006898,            0.006898,            0.006898
                  96,            0.037748,            0.017867,             0.00899,             0.76946,             0.42519,              0.5079,             0.23821,            0.047188,            0.012756,            0.013918,            0.006865,            0.006865,            0.006865
